a	a |
aa	a a |
abide	a b i d e |
aboard	a b o a r d |
about	a b o u t |
abraham	a b r a h a m |
accident	a c c i d e n t |
accused	a c c u s e d |
admired	a d m i r e d |
affection	a f f e c t i o n |
affliction	a f f l i c t i o n |
afraid	a f r a i d |
after	a f t e r |
agreed	a g r e e d |
ah	a h |
ahowooh	a h o w o o h |
ai	a i |
aims	a i m s |
ain't	a i n ' t |
alexander	a l e x a n d e r |
algonquin	a l g o n q u i n |
all	a l l |
always	a l w a y s |
amen	a m e n |
america	a m e r i c a |
an	a n |
and	a n d |
angry	a n g r y |
answered	a n s w e r e d |
anyhow	a n y h o w |
apple	a p p l e |
are	a r e |
arm	a r m |
around	a r o u n d |
arthur	a r t h u r |
as	a s |
ascii	a s c i i |
at	a t |
audible	a u d i b l e |
aunt	a u n t |
aw	a w |
awe	a w e |
b	b |
bad	b a d |
badge	b a d g e |
bank	b a n k |
barely	b a r e l y |
bear	b e a r |
beautiful	b e a u t i f u l |
became	b e c a m e |
before	b e f o r e |
began	b e g a n |
best	b e s t |
better	b e t t e r |
big	b i g |
black	b l a c k |
blank	b l a n k |
blind	b l i n d |
blowpipe	b l o w p i p e |
board	b o a r d |
boat	b o a t |
book	b o o k |
bove	b o v e |
boy	b o y |
boy's	b o y ' s |
boyish	b o y i s h |
branch	b r a n c h |
breve	b r e v e |
bridle	b r i d l e |
brougham	b r o u g h a m |
brutes	b r u t e s |
burmah	b u r m a h |
business	b u s i n e s s |
but	b u t |
by	b y |
c	c |
caan't	c a a n ' t |
cap	c a p |
case	c a s e |
caterpillar	c a t e r p i l l a r |
caused	c a u s e d |
chantay	c h a n t a y |
charley	c h a r l e y |
child	c h i l d |
child's	c h i l d ' s |
christ	c h r i s t |
city	c i t y |
commercial	c o m m e r c i a l |
condemned	c o n d e m n e d |
confessing	c o n f e s s i n g |
confession	c o n f e s s i o n |
converts	c o n v e r t s |
coostomers	c o o s t o m e r s |
corners	c o r n e r s |
covered	c o v e r e d |
crutch	c r u t c h |
cry	c r y |
d	d |
damned	d a m n e d |
daughter	d a u g h t e r |
day	d a y |
decision	d e c i s i o n |
defaulter's	d e f a u l t e r ' s |
denotes	d e n o t e s |
devil	d e v i l |
dialects	d i a l e c t s |
dies	d i e s |
dimensions	d i m e n s i o n s |
diminuendo	d i m i n u e n d o |
ding	d i n g |
dirt	d i r t |
distiller	d i s t i l l e r |
doctor	d o c t o r |
doin	d o i n |
dong	d o n g |
down	d o w n |
draw	d r a w |
drawled	d r a w l e d |
dream	d r e a m |
dreams	d r e a m s |
drinks	d r i n k s |
driver	d r i v e r |
dying	d y i n g |
e	e |
east	e a s t |
emperor	e m p e r o r |
episode	e p i s o d e |
exclamation	e x c l a m a t i o n |
excuse	e x c u s e |
experience	e x p e r i e n c e |
eyes	e y e s |
f	f |
fa	f a |
face	f a c e |
faces	f a c e s |
fallow	f a l l o w |
family	f a m i l y |
farm	f a r m |
father	f a t h e r |
father's	f a t h e r ' s |
feet	f e e t |
fer	f e r |
fifty	f i f t y |
first	f i r s t |
fit	f i t |
fool	f o o l |
foot	f o o t |
for	f o r |
forgives	f o r g i v e s |
fortune	f o r t u n e |
forty	f o r t y |
four	f o u r |
framework	f r a m e w o r k |
freckled	f r e c k l e d |
free	f r e e |
from	f r o m |
fur's	f u r ' s |
g	g |
garret	g a r r e t |
gentleman	g e n t l e m a n |
geographical	g e o g r a p h i c a l |
gilmour	g i l m o u r |
girl	g i r l |
given	g i v e n |
go	g o |
god	g o d |
good	g o o d |
goodin	g o o d i n |
got	g o t |
grasped	g r a s p e d |
grave	g r a v e |
gravely	g r a v e l y |
great	g r e a t |
ground	g r o u n d |
h	h |
hair	h a i r |
hands	h a n d s |
happy	h a p p y |
hardy	h a r d y |
has	h a s |
have	h a v e |
he	h e |
he's	h e ' s |
head	h e a d |
heavy	h e a v y |
her	h e r |
hero	h e r o |
him	h i m |
his	h i s |
holding	h o l d i n g |
horror	h o r r o r |
i	i |
if	i f |
impersonal	i m p e r s o n a l |
in	i n |
inches	i n c h e s |
independent	i n d e p e n d e n t |
infidel	i n f i d e l |
infidel's	i n f i d e l ' s |
infidelity	i n f i d e l i t y |
inserted	i n s e r t e d |
insidy	i n s i d y |
instantly	i n s t a n t l y |
interestedly	i n t e r e s t e d l y |
interrogates	i n t e r r o g a t e s |
into	i n t o |
irishman	i r i s h m a n |
is	i s |
isthmus	i s t h m u s |
it	i t |
it's	i t ' s |
its	i t s |
j	j |
jars	j a r s |
johnnie	j o h n n i e |
k	k |
kin	k i n |
l	l |
ladder	l a d d e r |
lady	l a d y |
lambskin	l a m b s k i n |
land	l a n d |
last	l a s t |
latin	l a t i n |
leaps	l e a p s |
life	l i f e |
light	l i g h t |
lincoln	l i n c o l n |
lipa	l i p a |
listened	l i s t e n e d |
little	l i t t l e |
live	l i v e |
ll	l l |
london	l o n d o n |
long	l o n g |
looking	l o o k i n g |
lost	l o s t |
loud	l o u d |
love	l o v e |
lubble	l u b b l e |
m	m |
m'tela	m ' t e l a |
ma	m a |
macron	m a c r o n |
man	m a n |
mare	m a r e |
mate	m a t e |
may	m a y |
meet	m e e t |
men	m e n |
might	m i g h t |
mighty	m i g h t y |
mile	m i l e |
million	m i l l i o n |
mind	m i n d |
miss	m i s s |
mistake	m i s t a k e |
money	m o n e y |
moody	m o o d y |
mother	m o t h e r |
mother's	m o t h e r ' s |
moved	m o v e d |
much	m u c h |
multitude	m u l t i t u d e |
murder	m u r d e r |
my	m y |
n	n |
names	n a m e s |
nearest	n e a r e s t |
net	n e t |
nice	n i c e |
no	n o |
not	n o t |
nothin	n o t h i n |
now	n o w |
nuthing	n u t h i n g |
o	o |
observed	o b s e r v e d |
oe	o e |
of	o f |
often	o f t e n |
on	o n |
once	o n c e |
one	o n e |
oo	o o |
or	o r |
ouch	o u c h |
oxley	o x l e y |
p	p |
part	p a r t |
particle	p a r t i c l e |
parts	p a r t s |
people	p e o p l e |
persuasively	p e r s u a s i v e l y |
picture	p i c t u r e |
pie	p i e |
pieces	p i e c e s |
plague	p l a g u e |
plaza	p l a z a |
pleasant	p l e a s a n t |
please	p l e a s e |
point	p o i n t |
prayer	p r a y e r |
preaches	p r e a c h e s |
preceding	p r e c e d i n g |
pressure	p r e s s u r e |
prodigal	p r o d i g a l |
pronounced	p r o n o u n c e d |
q	q |
r	r |
ready	r e a d y |
receive	r e c e i v e |
reconciliation	r e c o n c i l i a t i o n |
recorded	r e c o r d e d |
red	r e d |
remarkable	r e m a r k a b l e |
replied	r e p l i e d |
ri	r i |
rich	r i c h |
right	r i g h t |
rise	r i s e |
river	r i v e r |
rob	r o b |
rooms	r o o m s |
rosy	r o s y |
round	r o u n d |
s	s |
sad	s a d |
said	s a i d |
sally	s a l l y |
same	s a m e |
save	s a v e |
saved	s a v e d |
saves	s a v e s |
second	s e c o n d |
see	s e e |
seeche	s e e c h e |
segments	s e g m e n t s |
sek	s e k |
set	s e t |
sets	s e t s |
shouts	s h o u t s |
side	s i d e |
singer	s i n g e r |
slaves	s l a v e s |
so	s o |
soap	s o a p |
soldier	s o l d i e r |
some	s o m e |
son	s o n |
sound	s o u n d |
south	s o u t h |
spasm	s p a s m |
speak	s p e a k |
spider	s p i d e r |
spring	s p r i n g |
stage	s t a g e |
staring	s t a r i n g |
start	s t a r t |
states	s t a t e s |
stood	s t o o d |
storage	s t o r a g e |
street	s t r e e t |
stutter's	s t u t t e r ' s |
subject	s u b j e c t |
swings	s w i n g s |
t	t |
take	t a k e |
talk	t a l k |
tell	t e l l |
ter	t e r |
terror	t e r r o r |
texts	t e x t s |
th	t h |
thanks	t h a n k s |
that	t h a t |
the	t h e |
their	t h e i r |
ther	t h e r |
there	t h e r e |
they	t h e y |
thick	t h i c k |
thickness	t h i c k n e s s |
three	t h r e e |
tidy	t i d y |
tied	t i e d |
to	t o |
traipse	t r a i p s e |
trampled	t r a m p l e d |
traveler	t r a v e l e r |
tumbles	t u m b l e s |
u	u |
ump	u m p |
under	u n d e r |
united	u n i t e d |
up	u p |
used	u s e d |
vacant	v a c a n t |
versus	v e r s u s |
visits	v i s i t s |
voice	v o i c e |
w	w |
wark	w a r k |
was	w a s |
watch	w a t c h |
we	w e |
well	w e l l |
what	w h a t |
when	w h e n |
which	w h i c h |
while	w h i l e |
whip	w h i p |
who	w h o |
whole	w h o l e |
whut	w h u t |
widy	w i d y |
wife	w i f e |
wind	w i n d |
wire	w i r e |
with	w i t h |
woman	w o m a n |
women	w o m e n |
wondering	w o n d e r i n g |
would	w o u l d |
wrong	w r o n g |
wrung	w r u n g |
x	x |
y	y |
ye	y e |
years	y e a r s |
yer	y e r |
yere	y e r e |
yet	y e t |
you	y o u |
yours	y o u r s |
z	z |
